id;scene;hoofdstuk;regel;tekst;doel;echte_keuze;keuzes_in_scene;unieke_doelen;voorwaarde;approach;effect_flags;effect_relaties;gevolg
K0001;PRO_001;PRO;2001;Graaf meteen verder;PRO_002;true;2;2;;;;;lokaal
K0002;PRO_001;PRO;2001;Veeg eerst voorzichtig het zand weg;PRO_001B;true;2;2;;;;;lokaal
K0003;PRO_001B;PRO;2019;Graaf de kist op;PRO_002;false;1;1;;;;;doorklik
K0004;PRO_002;PRO;2033;Open de kist;PRO_003;true;2;2;;;;;lokaal
K0005;PRO_002;PRO;2033;Laat de kist gesloten en keer terug naar het dorp;PRO_002B;true;2;2;;;;;lokaal
K0006;PRO_002B;PRO;2048;Keer terug naar het veld en graaf de kist alsnog open;PRO_003;false;1;1;;;;;doorklik
K0007;PRO_003;PRO;2062;Neem de jachtboog;PRO_004A;true;3;3;;;;;lokaal
K0008;PRO_003;PRO;2062;Neem de speer;PRO_004B;true;3;3;;;;;lokaal
K0009;PRO_003;PRO;2062;Neem de ruitersporen;PRO_004C;true;3;3;;;;;lokaal
K0010;PRO_004A;PRO;2078;Verder zoeken in de kist;PRO_005;false;1;1;;;;;doorklik
K0011;PRO_004B;PRO;2098;Verder zoeken in de kist;PRO_005;false;1;1;;;;;doorklik
K0012;PRO_004C;PRO;2118;Verder zoeken in de kist;PRO_005;false;1;1;;;;;doorklik
K0013;PRO_005;PRO;2138;Raak de schijf aan;PRO_006;true;2;2;;;;;lokaal
K0014;PRO_005;PRO;2138;Trek je hand terug;PRO_005B;true;2;2;;;;;lokaal
K0015;PRO_005B;PRO;2159;Raak de schijf alsnog aan;PRO_006;false;1;1;;;;;doorklik
K0016;PRO_006;PRO;2173;Laat het gebeuren;PRO_007;false;1;1;;;;;doorklik
K0017;PRO_007;PRO;2190;Ontcijfer het patroon;PRO_008;false;1;1;;;;;doorklik
K0018;PRO_008;PRO;2207;Spreek de gestalte aan;PRO_009;false;1;1;;;;;doorklik
K0019;PRO_009;PRO;2224;Stap door de poort;CH1_000;false;1;1;;;;;doorklik
K0020;CH1_000;CH1;2271;"Naar Sardis, waar een koning alles tot goud maakt";CH1_A01;true;3;3;;;;;lokaal
K0021;CH1_000;CH1;2271;"Naar de top van de Olympos, waar iets op het punt staat te barsten";CH1_B01;true;3;3;;;;;lokaal
K0022;CH1_000;CH1;2271;"Naar een kille vallei, waar het eerste vuur nog gestolen moet worden";CH1_C01;true;3;3;;;;;lokaal
K0023;CH1_A01;CH1;2292;Ga direct de stad Sardis binnen;CH1_A02;true;2;2;;;;;lokaal
K0024;CH1_A01;CH1;2292;Vraag eerst een langsreizende koopman naar het laatste nieuws;CH1_A01B;true;2;2;;;;;lokaal
K0025;CH1_A01B;CH1;2312;"Knik kort en loop meteen door, je aandacht al bij het paleis";CH1_A02;true;3;1;;SEVERITAS;;;duurzaam-houding
K0026;CH1_A01B;CH1;2312;"Luister beleefd, maar zonder een duidelijk oordeel over wat je net hoorde";CH1_A02;true;3;1;;NEUTRAL;;;schijnkeuze
