naam;hoofdstukken;aantal_hoofdstukken;keert_terug;heeft_relatiescore;relatie_momenten;relatie_gelezen;codex_persoon;flags_over_hem;spreekt_in
athena;CH1 | CH2 | CH3;3;true;true;CH2_L07B +1;ch2_athena_echo_relatie;athena;;
diomedes;CH6 | CH8 | CH9;3;true;true;CH6_018_PRU +1 | CH8_AGA_001 +1;ch9_gri009_echo_diomedes_geschiedenis;diomedes;ch6_diomedes_epigonen;
priamus;CH7 | CH8 | CH9;3;true;false;;;priamus;;
achilles;CH7 | CH8;2;true;true;CH8_ACH_008 +1;;achilles;;
agamemnon;CH7 | CH8;2;true;true;CH8_AGA_008 +1;;agamemnon;;
andromache;CH8 | CH9;2;true;false;;;andromache;;
bacchus;CH1 | CH2;2;true;false;;;bacchus;;
hektor;CH8 | CH9;2;true;false;;;hektor;;
hephaistos;CH1 | CH8;2;true;false;;;hephaistos;;
hera;CH2 | CH3;2;true;false;;;hera;herakles_harnas | ch2_lijn_herakles | herakles_taken_voltooid | ch3_lijn_herakles;
herakles;CH2 | CH3;2;true;false;;;herakles;herakles_harnas | ch2_lijn_herakles | herakles_taken_voltooid | ch3_lijn_herakles;
menelaos;CH7 | CH8;2;true;true;CH8_ACH_001 -1 | CH8_AGA_001 +1;;menelaos;;
odysseus;CH7 | CH8;2;true;true;CH8_AGA_008 +1;;odysseus;;
zeus;CH1 | CH2;2;true;false;;;zeus;;
aeetes;CH5;1;false;false;;;aeetes;;
aegeus;CH4;1;false;false;;;aegeus;;
aeneas;CH9;1;false;false;;;aeneas;;
aias;CH8;1;false;true;CH8_ACH_008 +1 | CH8_AGA_008 -1;ch9_gri005_echo_aias_sympathiek | ch9_gri005_echo_aias_afstandelijk;aias;;
aias_oileus;CH9;1;false;false;;;aias_oileus;;
antigone;CH6;1;false;false;;;antigone;;
antilochos;CH8;1;false;false;;;antilochos;;
apollo;CH2;1;false;false;;;apollo;;
argos;CH5;1;false;false;;;argos;;
argus;CH3;1;false;false;;;argus;;
ariadne;CH4;1;false;false;;;ariadne;;
atalanta;CH5;1;false;false;;;atalanta;;
briseis;CH7;1;false;false;;;briseis;;
calchas;CH7;1;false;false;;;calchas;;
cassandra;CH9;1;false;false;;;cassandra;;
chryseis;CH7;1;false;false;;;chryseis;;
creon;CH6;1;false;false;;;creon;;
daidalos;CH4;1;false;false;;;daidalos;;
De Boodschapper van Kronos;PRO;1;false;false;;;;ch6_diomedes_epigonen | museum_mnemosyne_ontgrendeld | ch8_zijde;PRO_009
diana;CH2;1;false;false;;;diana;;
epaphus;CH4;1;false;false;;;epaphus;;
epimetheus;CH1;1;false;false;;;epimetheus;;
eteokles;CH6;1;false;false;;;eteokles;;
europa;CH3;1;false;false;;;europa;;
hecuba;CH7;1;false;false;;;hecuba;;
helena;CH7;1;false;false;;;helena;;
helenus;CH9;1;false;false;;;helenus;;
hermes;CH3;1;false;false;;;hermes;;
ikaros;CH4;1;false;false;;;ikaros;;
io;CH3;1;false;false;;;io;ch3_io07_route | ch3_io11_route | ch3_lijn_io | ch6_diomedes_epigonen;
iokaste;CH6;1;false;false;;;iokaste;;
iphigenia;CH7;1;false;false;;;iphigenia;;
jason;CH5;1;false;false;;;jason;;
kadmos;CH6;1;false;false;;;kadmos;;
kallisto;CH2;1;false;false;;;kallisto;ch2_lijn_kallisto;
kastor_polydeukes;CH5;1;false;false;;;kastor_polydeukes;;
laertes;CH5;1;false;false;;;laertes;;
laius;CH6;1;false;false;;;laius;;
latona;CH2;1;false;false;;;latona;ch2_lijn_latona;
leda;CH7;1;false;false;;;leda;;
medea;CH5;1;false;false;;;medea;;
megara;CH2;1;false;false;;;megara;;
meleager;CH5;1;false;false;;;meleager;;
midas;CH1;1;false;false;;;midas;;
minos;CH4;1;false;false;;;minos;;
neoptolemus;CH9;1;false;false;;;neoptolemus;;
nestor;CH5;1;false;false;;;nestor;;
oedipus;CH6;1;false;false;;;oedipus;;
orpheus;CH5;1;false;false;;;orpheus;;
palamedes;CH7;1;false;false;;;palamedes;;
pandora;CH1;1;false;false;;;pandora;;
paris;CH7;1;false;false;;;paris;;
patroklos;CH8;1;false;false;;;patroklos;;
peleus;CH5;1;false;false;;;peleus;;
pentheus;CH6;1;false;false;;;pentheus;;
phaethon;CH4;1;false;false;;;phaethon;ch4_lijn_phaethon;
philoktetes;CH5;1;false;false;;;philoktetes;;
phoenix;CH8;1;false;true;CH8_ACH_008 +1;;phoenix;;
pholus;CH3;1;false;false;;;pholus;;
polyneikes;CH6;1;false;false;;;polyneikes;;
prometheus;CH1;1;false;false;;;prometheus;;
semele;CH2;1;false;false;;;semele;ch2_lijn_semele;
sol;CH4;1;false;false;;;sol;;
telamon;CH5;1;false;false;;;telamon;;
tellus;CH4;1;false;false;;;tellus;;
theseus;CH4;1;false;false;;;theseus;ch4_lijn_theseus;
thetis;CH7;1;false;false;;;thetis;;
tydeus;CH5;1;false;false;;;tydeus;;
tyndareos;CH7;1;false;false;;;tyndareos;;
