id;hoofdstuk;regel;titel;samenvatting;spreker;npcs;flags_geschreven;relaties_geschreven;flags_gelezen;stat_checks;uitrusting;puzzle;combat;image;eretitel;aantal_keuzes;keuzes
PRO_001;PRO;2001;Het Veld bij Latium;De speler ploegt zijn akker in Latium en stuit op iets hards onder de grond. Twee openingskeuzes: meteen graven of eerst voorzichtig zand wegvegen.;;;;;;;;;;prologue_ploegen.png;;2;Graaf meteen verder -> PRO_002 | Veeg eerst voorzichtig het zand weg -> PRO_001B
PRO_001B;PRO;2019;Voorzichtig;Het harde voorwerp blijkt bewerkt hout — de rand van een begraven kist.;;;;;;;;;;;;1;Graaf de kist op -> PRO_002
PRO_002;PRO;2033;De Kist;"De opgegraven kist staat voor de speler; het slot houdt nog stand. Openen of laten liggen.";;;;;;;;;;;;2;Open de kist -> PRO_003 | Laat de kist gesloten en keer terug naar het dorp -> PRO_002B
PRO_002B;PRO;2048;Twijfel;De speler laat de kist liggen maar kan het de hele dag niet loslaten en keert 's avonds terug. Zuivere vertraging: hetzelfde vervolg.;;;;;;;;;;;;1;Keer terug naar het veld en graaf de kist alsnog open -> PRO_003
PRO_003;PRO;2062;Drie Voorwerpen;"In de kist liggen drie voorwerpen: jachtboog, speer en ruitersporen. De speler mag er één meenemen — dit is de klassekeuze.";;;;;;;;;;;;3;Neem de jachtboog -> PRO_004A | Neem de speer -> PRO_004B | Neem de ruitersporen -> PRO_004C
PRO_004A;PRO;2078;De Boogschutter;De boog gekozen: de speler wordt Boogschutter (REWARD zet classId + stats).;;;;;;;"class=Boogschutter; traits=observatie,snelheid,precisie";;;;boogschutter_orakel;1;Verder zoeken in de kist -> PRO_005
PRO_004B;PRO;2098;De Hopliet;De speer gekozen: de speler wordt Hopliet (REWARD zet classId + stats).;;;;;;;"class=Hopliet; traits=kracht,moed,verdediging";;;;hopliet_orakel;1;Verder zoeken in de kist -> PRO_005
PRO_004C;PRO;2118;De Cavalerist;De ruitersporen gekozen: de speler wordt Cavalerist (REWARD zet classId + stats).;;;;;;;"class=Cavalerist; traits=mobiliteit,tactiek,snelheid";;;;cavalerist_orakel;1;Verder zoeken in de kist -> PRO_005
PRO_005;PRO;2138;De Bronzen Schijf;Onder in de kist ligt een warme bronzen schijf met onbekende tekens. Aanraken of terugtrekken.;;;;;;;;;;prologue.png;;2;Raak de schijf aan -> PRO_006 | Trek je hand terug -> PRO_005B
PRO_005B;PRO;2159;Aarzeling;"De speler aarzelt, maar de schijf 'roept'. Zuivere vertraging naar hetzelfde vervolg.";;;;;;;;;;;;1;Raak de schijf alsnog aan -> PRO_006
PRO_006;PRO;2173;Vervorming;"Bij aanraking vervormt de werkelijkheid rond het veld; Latium herschikt zich.";;;;;;;;;;tijdvervorming_veld.jpg;;1;Laat het gebeuren -> PRO_007
PRO_007;PRO;2190;Het Orakel van Chronos;De tekens rijzen op en vormen een woord. Poortwachter: de Griekse transliteratie-puzzel.;;;;;;;;puzzle_orakel_symbolen_01;;;;1;Ontcijfer het patroon -> PRO_008
PRO_008;PRO;2207;De Poort;"De tekens vallen op hun plaats en een poort van licht opent zich; een gestalte wacht erachter.";;;;;;;;;;;;1;Spreek de gestalte aan -> PRO_009
PRO_009;PRO;2224;De Boodschapper;De Boodschapper van Kronos spreekt de speler voor het eerst aan: de wereld vergeet. Titel bewaarder_herinnering.;De Boodschapper van Kronos;;;;;;;;;;bewaarder_herinnering;1;Stap door de poort -> CH1_000
CH1_000;CH1;2271;De Namen van de Wereld;Hub van Hoofdstuk 1: de speler stapt Hellas binnen en kiest één van drie niet-convergerende plotlijnen (Midas / Athena / Prometheus).;;;;;;;;;;;;3;"Naar Sardis, waar een koning alles tot goud maakt -> CH1_A01 | Naar de top van de Olympos, waar iets op het punt staat te barsten -> CH1_B01 | Naar een kille vallei, waar het eerste vuur nog gestolen moet worden -> CH1_C01"
CH1_A01;CH1;2292;De Weg naar Sardis;"Lijn A. De weg naar Sardis in Lydia; onderweg gonst het van geruchten over koning Midas en een gunst van een god.";;midas;;;;;;;;;;2;Ga direct de stad Sardis binnen -> CH1_A02 | Vraag eerst een langsreizende koopman naar het laatste nieuws -> CH1_A01B
CH1_A01B;CH1;2312;Geruchten op de Weg;Een koopman vertelt over Silenus in de rozentuinen. Drie houdingskeuzes die alle drie naar dezelfde scène leiden.;;;;;;;;;;;;3;"Knik kort en loop meteen door, je aandacht al bij het paleis -> CH1_A02 | Luister beleefd, maar zonder een duidelijk oordeel over wat je net hoorde -> CH1_A02 | Bedank de koopman voor zijn verhaal voor je verdergaat -> CH1_A02"
CH1_A02;CH1;2330;Het Paleis van Sardis;"Het paleis van Sardis; de troonzaal wordt bewaakt. Drie routes: het opschrift ontcijferen (puzzel), forceren (Vis) of sluipen (Prudentia).";;;;;;vis 13 | prudentia 13;;;;;;3;"Ontcijfer het woord boven de poort -> CH1_A02_PUZZLE | Zet je schouder tegen de zijdeur van de wachtpost en forceer hem open -> CH1_A02_VIS | Wacht de wisseling van de wacht af en glip dan, ongezien, tussen hen door -> CH1_A02_SLUIP"
CH1_A02_PUZZLE;CH1;2350;Het Woord boven de Poort;Poortwachter: lidwoordpuzzel bij het opschrift boven de poort.;;;;;;;;puzzle_ch1a_lidwoord;;;;1;Ontcijfer het woord -> CH1_A03
CH1_A02_VIS;CH1;2367;De Zijdeur;Vis-route: de speler forceert de zijdeur van de wachtpost. Komt direct samen.;;;;;;;;;;;;1;Loop door naar de troonzaal -> CH1_A03
CH1_A02_SLUIP;CH1;2381;De Wisseling van de Wacht;Prudentia-route: de speler glipt bij de wachtwissel naar binnen. Komt direct samen.;;;;;;;;;;;;1;Loop door naar de troonzaal -> CH1_A03
CH1_A03;CH1;2395;"Silenus, de Dronken Wijze";"In de troonzaal wordt het Silenus-verhaal uitgebreid verteld; Bacchus staat op het punt te verschijnen.";;;;;;;;;;;;1;Wacht af wat Bacchus te bieden heeft -> CH1_A04
CH1_A04;CH1;2413;Een Gevaarlijke Wens;"Bacchus verschijnt en biedt Midas een wens; Midas wenst dat alles wat hij aanraakt goud wordt.";;bacchus;;;;;;;;midas.png;;1;Blijf kijken wat er gebeurt -> CH1_A05
CH1_A05;CH1;2437;De Gouden Aanraking;Midas test zijn gave steeds roekelozer. Poortwachter: naamvalpuzzel.;;;;;;;;puzzle_ch1a_naamval;;;;1;Kijk toe hoe hij verder gaat -> CH1_A06
CH1_A06;CH1;2454;Het Gouden Feestmaal;"Het gouden feestmaal: brood en wijn verstarren, Midas raakt in paniek. Drie houdingskeuzes, één vervolg.";;;;;;;;;;;;3;"Kijk onbewogen toe — hij wist waar hij om vroeg -> CH1_A07 | Kijk toe, nog niet goed wetend wat je van dit alles moet denken -> CH1_A07 | Kijk met groeiend medeleven hoe zijn paniek toeneemt -> CH1_A07"
CH1_A07;CH1;2472;Wat Goud Niet Kan Voeden;"Midas' dochter omhelst hem en verandert in goud. Drie houdingskeuzes, één vervolg.";;;;;;;;;;;;3;"Grijp hem stevig bij zijn schouders, om hem tot bezinning te schudden -> CH1_A08 | Grijp hem bij zijn schouders, zelf niet zeker of dit troost of een schok moet zijn -> CH1_A08 | Grijp hem voorzichtig bij zijn schouders, om hem te troosten -> CH1_A08"
CH1_A08;CH1;2490;Een Vloek Erkend;Midas smeekt geknield om terugname van de gave. Keuze: bij hem blijven (via A08B) of hem meteen op Bacchus wijzen.;;;;;;;;;;;;3;"Blijf eerst naast hem zitten, zodat hij niet alleen is met wat hij heeft gedaan -> CH1_A08B | Blijf besluiteloos naast hem zitten, niet zeker wat je nu moet zeggen -> CH1_A08B | Wijs hem meteen op Bacchus, die alles zag gebeuren -> CH1_A09"
CH1_A08B;CH1;2508;Een Ogenblik van Stilte;De speler knielt zwijgend naast Midas voor hij hem op Bacchus wijst. Zuivere vertraging.;;;;;;;;;;;;1;"Wijs hem op Bacchus, die alles zag gebeuren -> CH1_A09"
CH1_A09;CH1;2524;De Aanroeping;Midas roept Bacchus aan. Poortwachter: vocativuspuzzel.;;;;;;;;puzzle_ch1a_vocativus;;;;1;Wacht op het antwoord van de god -> CH1_A10
CH1_A10;CH1;2543;De Rivier de Pactolus;"Bacchus wijst Midas naar de Pactolus; in de paniek van het paleis moet de speler mee naar de rivier. Drie routes (open / Vis / Gratia).";;;;;;vis 13 | gratia 11;;;;;;3;"Blijf vlak naast Midas, klaar om hem overeind te houden wanneer hij weer struikelt -> CH1_A10_OPEN | Duw de dichtklappende poort met kracht open zodat jullie er meteen doorheen kunnen -> CH1_A10_VIS | Praat de paniekerige poortwacht om vóór hij het slot dichtgooit -> CH1_A10_GRATIA"
CH1_A10_OPEN;CH1;2561;Aan Zijn Zijde;Open route: de speler houdt Midas overeind. Schrijft de dode flag ch1_a10_route=open.;;;ch1_a10_route=open;;;;;;;;;1;Kijk toe hoe Midas zich in het water werpt -> CH1_A10B
CH1_A10_VIS;CH1;2578;De Dichtklappende Poort;Vis-route: de speler forceert de dichtklappende poort. Schrijft de dode flag ch1_a10_route=vis.;;;ch1_a10_route=vis;;;;;;;;;1;Kijk toe hoe Midas zich in het water werpt -> CH1_A10B
CH1_A10_GRATIA;CH1;2595;Eén Enkel Woord;Gratia-route: de speler praat de poortwacht om. Schrijft de dode flag ch1_a10_route=gratia.;;;ch1_a10_route=gratia;;;;;;;;;1;Kijk toe hoe Midas zich in het water werpt -> CH1_A10B
CH1_A10B;CH1;2612;Het Water Neemt het Goud;"Midas wast zich in de Pactolus, de vloek verdwijnt, zijn dochter leeft weer. Zet ch1_lijn=A + ch1_voltooid, souvenir, eretitel.";;midas | bacchus;ch1_lijn=A | ch1_voltooid=true;;;;souvenir_midas | armor:robe;;;;ch1_a_midas;3;"Loop meteen door — er wacht nog werk aan de naam die je moet redden -> CH1_A11 | Werp een laatste blik terug, zonder er verder bij stil te staan -> CH1_A11 | Kijk nog eenmaal om, met medeleven voor de man die zoveel verloor en terugkreeg -> CH1_A11"
CH1_A11;CH1;2650;Het Orakel Verschijnt;Het Orakel verschijnt en prijst de speler om het redden van Midas' naam.;;;;;;;;;;orakel_verschijnt.png;;1;Luister verder -> CH1_ROBE
CH1_B01;CH1;2672;"Metis, de Eerste Vrouw van Zeus";"Lijn B. Een herder vertelt over Metis, de profetie en Zeus die haar inslikte. Keuze: doorklimmen of doorvragen.";;zeus;;;;;;;;;;2;Beklim direct de laatste helling naar de top -> CH1_B01C | Vraag de herder waarom hij zo angstig wegvlucht -> CH1_B01B
CH1_B01B;CH1;2694;Een Patroon dat Zich Herhaalt;"De herder vertelt over het patroon Ouranos-Kronos-Zeus. Drie houdingskeuzes, één vervolg.";;;;;;;;;;;;3;"Je hebt geen tijd voor meer vragen en klimt meteen door -> CH1_B01C | Overweeg zijn woorden een moment, en klim dan verder -> CH1_B01C | Bedank de herder voor zijn waarschuwing voor je verdergaat -> CH1_B01C"
CH1_B01C;CH1;2712;De Laatste Helling;De laatste helling naar de Olympostop onder een opkomende storm. Drie routes (pad / Vis / Agilitas).;;;;;;vis 13 | agilitas 11;;;;;;3;"Volg het kronkelende pelgrimspad, langzamer maar voor iedereen begaanbaar -> CH1_B01_PAD | Klim recht tegen de rotswand op, rechtstreeks de aanzwellende wind in -> CH1_B01_VIS | Spring behendig van steen naar steen over een smalle, afbrokkelende richel -> CH1_B01_AGI"
CH1_B01_PAD;CH1;2728;Het Pelgrimspad;Open route: het pelgrimspad. Schrijft de dode flag ch1_b01_route=pad.;;;ch1_b01_route=pad;;;;;;;;;1;Loop de top van de Olympos op -> CH1_B02
CH1_B01_VIS;CH1;2745;Recht Tegen de Wind In;Vis-route: recht tegen de rotswand op. Schrijft de dode flag ch1_b01_route=vis.;;;ch1_b01_route=vis;;;;;;;;;1;Loop de top van de Olympos op -> CH1_B02
CH1_B01_AGI;CH1;2762;Van Steen naar Steen;Agilitas-route: over de smalle richel. Schrijft de dode flag ch1_b01_route=agilitas.;;;ch1_b01_route=agilitas;;;;;;;;;1;Loop de top van de Olympos op -> CH1_B02
CH1_B02;CH1;2779;Onweer op de Olympos;"Zeus op zijn troon met barstende hoofdpijn; de goden weten zich geen raad. Drie houdingskeuzes, één vervolg.";;;;;;;;;;;;3;"Blijf nuchter — een pijnlijke geboorte is nog geen excuus voor wat hij Metis aandeed -> CH1_B03 | Kijk toe zonder een duidelijke mening te vormen over wat je ziet -> CH1_B03 | Voel medelijden met Zeus, ondanks alles wat hij heeft gedaan -> CH1_B03"
CH1_B03;CH1;2797;Een Naam voor het Ongeborene;Nimfen fluisteren het woord θεά. Poortwachter: lidwoordpuzzel.;;athena;;;;;;puzzle_ch1b_lidwoord;;;;1;Volg het gefluister naar Zeus' troon -> CH1_B04
